"Board","Vendor Ref","KiCad Ref","Value","Footprint","Description","Qty","DNP"
"Mainboard Core","ANT1","ANT1","ANT_ID","","IPEX antenna connector","1",""
"Mainboard Core","C1,C2","C1,C2","12pF","","Crystal load capacitor","2",""
"Mainboard Core","C3","C3","1uF","","MCU bypass capacitor","1",""
"Mainboard Core","C4","C4","10nF","","MCU bypass capacitor","1",""
"Mainboard Core","C5","C5","10uF","","MCU bulk capacitor","1",""
"Mainboard Core","C13,C6,C8","C6,C8,C13","0.1uF","","MCU bypass capacitor","3",""
"Mainboard Core","C7","C7","0.1uF","","RGB bypass capacitor","1",""
"Mainboard Core","C10,C9","C9,C10","NC","","Antenna matching capacitor","2","DNP"
"Mainboard Core","C11","C11","0.1uF","","SPI supply bypass capacitor","1",""
"Mainboard Core","C12","C12","1uF","","SPI supply bulk capacitor","1",""
"Mainboard Power","C14","C14","1uF","Capacitor_SMD:C_0201_0603Metric","Charger input capacitor","1",""
"Mainboard Power","C15","C15","1uF","Capacitor_SMD:C_0201_0603Metric","Charger battery capacitor","1",""
"Mainboard Power","C16","C16","2.2uF","Capacitor_SMD:C_0201_0603Metric","Power-path capacitor","1",""
"Mainboard Power","C17","C17","4.7uF","Capacitor_SMD:C_0201_0603Metric","Buck input capacitor","1",""
"Mainboard Power","C18,C19","C18,C19","4.7uF","Capacitor_SMD:C_0201_0603Metric","Buck output capacitor","2",""
"Mainboard Power","C20","C20","0.1uF","Capacitor_SMD:C_0201_0603Metric","Temperature sensor bypass capacitor","1",""
"Mainboard Power","C21","C21","0.1uF","Capacitor_SMD:C_0201_0603Metric","IMU bypass capacitor","1",""
"Mainboard Power","C22","C22","0.1uF","Capacitor_SMD:C_0201_0603Metric","Battery ADC filter capacitor","1",""
"Mainboard Power","D1","D1","OVB32FK28A","","Power-path diode","1",""
"Mainboard Core","J1","J1","DF40C-30DP-0.4V(51)","","Mainboard board-to-board connector","1",""
"Mainboard Core","J2","J2","2.54-1.27-8PIN","","GPIO breakout header","1",""
"Mainboard Core","J3","J3","2.54-1.27-8PIN","","USB and serial breakout header","1",""
"Mainboard Power","J4","J4","USB2.0 Type C","","USB-C receptacle","1",""
"Mainboard Core","L1","L1","2.0nH","","RF supply inductor","1",""
"Mainboard Core","L2","L2","0R","","Antenna matching link","1",""
"Mainboard Power","L3","L3","470nH","Inductor_SMD:L_0603_1608Metric","Buck inductor","1",""
"Mainboard Power","LED1","LED1","RLED","","Charge status LED","1",""
"Mainboard Power","Q1","Q1","OVM20P42D6","","Power-path MOSFET","1",""
"Mainboard Core","R1","R1","10K (DNP)","","Optional GPIO46 pull-up","1","DNP"
"Mainboard Core","R3","R3","10K","","Reset pull-up","1",""
"Mainboard Core","R4","R4","10K","","Boot pull-up","1",""
"Mainboard Core","R5","R5","33R","","RGB data series resistor","1",""
"Mainboard Power","R6,R8","R6,R8","5.1K","Resistor_SMD:R_0201_0603Metric","USB CC pull-down","2",""
"Mainboard Power","R7","R7","220K","Resistor_SMD:R_0201_0603Metric","Charge current programming resistor","1",""
"Mainboard Power","R9","R9","4.7K","","Charge LED resistor","1",""
"Mainboard Power","R10","R10","249K","Resistor_SMD:R_0201_0603Metric","Buck feedback resistor","1",""
"Mainboard Power","R11","R11","100K","Resistor_SMD:R_0201_0603Metric","Power-path bias resistor","1",""
"Mainboard Power","R12","R12","2K","","Temperature sensor pull-up","1",""
"Mainboard Power","R13","R13","510K","Resistor_SMD:R_0201_0603Metric","Battery divider upper resistor","1",""
"Mainboard Power","R14","R14","510K","Resistor_SMD:R_0201_0603Metric","Battery divider lower resistor","1",""
"Mainboard Core","SW1","SW1","SKTAAAE010","","Reset button","1",""
"Mainboard Core","SW2","SW2","SKTAAAE010","","Boot button","1",""
"Mainboard Core","TP1","TP1","GND","","Ground test point","1",""
"Mainboard Core","TP2","TP2","EN","","Reset test point","1",""
"Mainboard Core","TP3","TP3","MTDO","","JTAG test point","1",""
"Mainboard Core","TP4","TP4","MTDI","","JTAG test point","1",""
"Mainboard Core","TP5","TP5","MTCK","","JTAG test point","1",""
"Mainboard Core","TP6","TP6","MTMS","","JTAG test point","1",""
"Mainboard Core","TP7","TP7","TX","","UART transmit test point","1",""
"Mainboard Core","TP8","TP8","RX","","UART receive test point","1",""
"Mainboard Core","U1","U1","W25Q128JWUIQ","","16MB SPI flash","1",""
"Mainboard Core","U2","U2","ESP32-S3R8","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm","MCU with 8MB in-package PSRAM","1",""
"Mainboard Core","U3","U3","TZ-H1010-RGB","","Addressable RGB LED","1",""
"Mainboard Power","U4","U4","SGM40567-4.2XG/TR","","Li-ion charger","1",""
"Mainboard Power","U5","U5","SGM6029CYG/TR","","3.3V buck regulator","1",""
"Mainboard Power","U6","U6","STS35","","Temperature sensor","1",""
"Mainboard Power","U7","U7","QMI8658C","","Six-axis IMU","1",""
"Expansion Board","C1","XC1","4.7uF","","2.8V LDO input capacitor","1",""
"Expansion Board","C2","XC2","4.7uF","","2.8V LDO output capacitor","1",""
"Expansion Board","C3","XC3","2.2uF","","1.3V LDO input capacitor","1",""
"Expansion Board","C4","XC4","2.2uF","","1.3V LDO output capacitor","1",""
"Expansion Board","C5,C6","XC5,XC6","100nF","","Camera supply bypass capacitor","2",""
"Expansion Board","C7","XC7","100nF","","Microphone bypass capacitor","1",""
"Expansion Board","C10,C12,C8","XC8,XC10,XC12","100nF","","Camera bypass capacitor","3",""
"Expansion Board","C9","XC9","1uF","","Camera bulk capacitor","1",""
"Expansion Board","C11","XC11","4.7uF","","Camera bulk capacitor","1",""
"Expansion Board","C13,C14","XC13,XC14","2.2uF","","SD supply capacitor","2",""
"Expansion Board","C15","XC15","100nF","","SD bypass capacitor","1",""
"Expansion Board","C16,C17","XC16,XC17","100nF","","Camera connector bypass capacitor","2",""
"Expansion Board","D1,D2,D3,D4","XD1-XD4","ESDPSA0402V05","","Camera ESD suppressor","4",""
"Expansion Board","D5","XD5","ESD9B3.3ST5G","","SD ESD suppressor","1",""
"Expansion Board","D6","XD6","MSK4005","","Power protection diode","1",""
"Expansion Board","FB1","XFB1","120R-1.3A","","Camera supply ferrite bead","1",""
"Expansion Board","FB2","XFB2","120R-1.3A","","SD supply ferrite bead","1",""
"Expansion Board","J4,J5","XJ4,XJ5","DNP","","Optional connector","2","DNP"
"Expansion Board","JA1","XJA1","AFC01-S24FCC-00","","OV5640 camera socket","1",""
